card_id,front,back,answer,russian,japanese,pos,imperfective,perfective,source_rounds,source_sections,tags,needs_review,include_in_app
app500_m0001,встава́ть — встать,"答え：起きる／立ち上がる
品詞：動詞
不完了体：встава́ть
完了体：встать
出題回：60;64;84
文脈：動詞の体・時制選択",起きる／立ち上がる,встава́ть — встать,起きる／立ち上がる,動詞,встава́ть,встать,60;64;84,文法II,ロシア語2級;verb;動詞;複数回,要確認,候補
app500_m0002,выходи́ть — вы́йти,"答え：出る
品詞：動詞
不完了体：выходи́ть
完了体：вы́йти
出題回：60
文脈：動詞の体・時制選択",出る,выходи́ть — вы́йти,出る,動詞,выходи́ть,вы́йти,60,文法II,ロシア語2級;verb;動詞;第60回,要確認,候補
app500_m0003,говори́ть — сказа́ть,"答え：話す／言う
品詞：動詞
不完了体：говори́ть
完了体：сказа́ть
出題回：60
文脈：動詞の体・時制選択",話す／言う,говори́ть — сказа́ть,話す／言う,動詞,говори́ть,сказа́ть,60,文法II,ロシア語2級;verb;動詞;第60回,要確認,候補
app500_m0004,гото́вить — пригото́вить,"答え：準備する／料理する
品詞：動詞
不完了体：гото́вить
完了体：пригото́вить
出題回：60
文脈：動詞の体・時制選択",準備する／料理する,гото́вить — пригото́вить,準備する／料理する,動詞,гото́вить,пригото́вить,60,文法II,ロシア語2級;verb;動詞;第60回,要確認,候補
app500_m0005,де́лать — сде́лать,"答え：する／作る
品詞：動詞
不完了体：де́лать
完了体：сде́лать
出題回：60
文脈：動詞の体・時制選択",する／作る,де́лать — сде́лать,する／作る,動詞,де́лать,сде́лать,60,文法II,ロシア語2級;verb;動詞;第60回,要確認,候補
app500_m0006,закрыва́ть — закры́ть,"答え：閉める
品詞：動詞
不完了体：закрыва́ть
完了体：закры́ть
出題回：60
文脈：動詞の体・時制選択",閉める,закрыва́ть — закры́ть,閉める,動詞,закрыва́ть,закры́ть,60,文法II,ロシア語2級;verb;動詞;第60回,要確認,候補
app500_m0007,изменя́ться — измени́ться,"答え：変わる
品詞：動詞
不完了体：изменя́ться
完了体：измени́ться
出題回：60
文脈：動詞の体・時制選択",変わる,изменя́ться — измени́ться,変わる,動詞,изменя́ться,измени́ться,60,文法II,ロシア語2級;verb;動詞;第60回,要確認,候補
app500_m0008,приводи́ть — привести́,"答え：連れてくる／導く
品詞：動詞
不完了体：приводи́ть
完了体：привести́
出題回：60
文脈：動詞の体・時制選択",連れてくる／導く,приводи́ть — привести́,連れてくる／導く,動詞,приводи́ть,привести́,60,文法II,ロシア語2級;verb;動詞;第60回,要確認,候補
app500_m0009,спеши́ть — поспеши́ть,"答え：急ぐ
品詞：動詞
不完了体：спеши́ть
完了体：поспеши́ть
出題回：60
文脈：動詞の体・時制選択",急ぐ,спеши́ть — поспеши́ть,急ぐ,動詞,спеши́ть,поспеши́ть,60,文法II,ロシア語2級;verb;動詞;第60回,要確認,候補
app500_m0010,возвраща́ться — верну́ться,"答え：戻る
品詞：動詞
不完了体：возвраща́ться
完了体：верну́ться
出題回：60;62
文脈：動詞の体・時制選択",戻る,возвраща́ться — верну́ться,戻る,動詞,возвраща́ться,верну́ться,60;62,文法II,ロシア語2級;verb;動詞;複数回,要確認,候補
app500_m0011,ока́нчивать — око́нчить,"答え：終える
品詞：動詞
不完了体：ока́нчивать
完了体：око́нчить
出題回：60
文脈：動詞の体・時制選択",終える,ока́нчивать — око́нчить,終える,動詞,ока́нчивать,око́нчить,60,文法II,ロシア語2級;verb;動詞;第60回,要確認,候補
app500_m0012,проверя́ть — прове́рить,"答え：確認する
品詞：動詞
不完了体：проверя́ть
完了体：прове́рить
出題回：60
文脈：動詞の体・時制選択",確認する,проверя́ть — прове́рить,確認する,動詞,проверя́ть,прове́рить,60,文法II,ロシア語2級;verb;動詞;第60回,要確認,候補
app500_m0013,уезжа́ть — уе́хать,"答え：出発する／去る
品詞：動詞
不完了体：уезжа́ть
完了体：уе́хать
出題回：60
文脈：動詞の体・時制選択",出発する／去る,уезжа́ть — уе́хать,出発する／去る,動詞,уезжа́ть,уе́хать,60,文法II,ロシア語2級;verb;動詞;第60回,要確認,候補
app500_m0014,чита́ть — прочита́ть,"答え：読む
品詞：動詞
不完了体：чита́ть
完了体：прочита́ть
出題回：60
文脈：動詞の体・時制選択",読む,чита́ть — прочита́ть,読む,動詞,чита́ть,прочита́ть,60,文法II,ロシア語2級;verb;動詞;第60回,要確認,候補
app500_m0015,включа́ть — включи́ть,"答え：つける／含める
品詞：動詞
不完了体：включа́ть
完了体：включи́ть
出題回：62
文脈：動詞の体・時制選択",つける／含める,включа́ть — включи́ть,つける／含める,動詞,включа́ть,включи́ть,62,文法II,ロシア語2級;verb;動詞;第62回,要確認,候補
app500_m0016,входи́ть — войти́,"答え：入る
品詞：動詞
不完了体：входи́ть
完了体：войти́
出題回：62;84
文脈：動詞の体・時制選択",入る,входи́ть — войти́,入る,動詞,входи́ть,войти́,62;84,文法II,ロシア語2級;verb;動詞;複数回,要確認,候補
app500_m0017,конча́ться — ко́нчиться,"答え：終わる
品詞：動詞
不完了体：конча́ться
完了体：ко́нчиться
出題回：62
文脈：動詞の体・時制選択",終わる,конча́ться — ко́нчиться,終わる,動詞,конча́ться,ко́нчиться,62,文法II,ロシア語2級;verb;動詞;第62回,要確認,候補
app500_m0018,открыва́ть — откры́ть,"答え：開ける／開く
品詞：動詞
不完了体：открыва́ть
完了体：откры́ть
出題回：62
文脈：動詞の体・時制選択",開ける／開く,открыва́ть — откры́ть,開ける／開く,動詞,открыва́ть,откры́ть,62,文法II,ロシア語2級;verb;動詞;第62回,要確認,候補
