master_id,entry_type,russian,russian_no_accent,japanese,pos,gender,number,imperfective,perfective,aspect_pair_key,case_pattern,source_rounds,source_sections,source_context,frequency,duplicate_group,level,category,card_direction,front,answer,back,tags,needs_review,review_status,review_note,include_in_app,original_card_ids,confidence
m0001,verb_pair,встава́ть — встать,вставать — встать,起きる／立ち上がる,動詞,,,встава́ть,встать,вставать—встать,,60;64;84,文法II,動詞の体・時制選択,3,вставать—встать,2,verb,ru→ja / ja→ru候補,встава́ть — встать,起きる／立ち上がる,"答え：起きる／立ち上がる
品詞：動詞
不完了体：встава́ть
完了体：встать
出題回：60;64;84
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;複数回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0002,verb_pair,выходи́ть — вы́йти,выходить — выити,出る,動詞,,,выходи́ть,вы́йти,выходить—выити,,60,文法II,動詞の体・時制選択,1,выходить—выити,2,verb,ru→ja / ja→ru候補,выходи́ть — вы́йти,出る,"答え：出る
品詞：動詞
不完了体：выходи́ть
完了体：вы́йти
出題回：60
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第60回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0003,verb_pair,говори́ть — сказа́ть,говорить — сказать,話す／言う,動詞,,,говори́ть,сказа́ть,говорить—сказать,,60,文法II,動詞の体・時制選択,1,говорить—сказать,2,verb,ru→ja / ja→ru候補,говори́ть — сказа́ть,話す／言う,"答え：話す／言う
品詞：動詞
不完了体：говори́ть
完了体：сказа́ть
出題回：60
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第60回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0004,verb_pair,гото́вить — пригото́вить,готовить — приготовить,準備する／料理する,動詞,,,гото́вить,пригото́вить,готовить—приготовить,,60,文法II,動詞の体・時制選択,1,готовить—приготовить,2,verb,ru→ja / ja→ru候補,гото́вить — пригото́вить,準備する／料理する,"答え：準備する／料理する
品詞：動詞
不完了体：гото́вить
完了体：пригото́вить
出題回：60
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第60回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0005,verb_pair,де́лать — сде́лать,делать — сделать,する／作る,動詞,,,де́лать,сде́лать,делать—сделать,,60,文法II,動詞の体・時制選択,1,делать—сделать,2,verb,ru→ja / ja→ru候補,де́лать — сде́лать,する／作る,"答え：する／作る
品詞：動詞
不完了体：де́лать
完了体：сде́лать
出題回：60
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第60回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0006,verb_pair,закрыва́ть — закры́ть,закрывать — закрыть,閉める,動詞,,,закрыва́ть,закры́ть,закрывать—закрыть,,60,文法II,動詞の体・時制選択,1,закрывать—закрыть,2,verb,ru→ja / ja→ru候補,закрыва́ть — закры́ть,閉める,"答え：閉める
品詞：動詞
不完了体：закрыва́ть
完了体：закры́ть
出題回：60
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第60回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0007,verb_pair,изменя́ться — измени́ться,изменяться — измениться,変わる,動詞,,,изменя́ться,измени́ться,изменяться—измениться,,60,文法II,動詞の体・時制選択,1,изменяться—измениться,2,verb,ru→ja / ja→ru候補,изменя́ться — измени́ться,変わる,"答え：変わる
品詞：動詞
不完了体：изменя́ться
完了体：измени́ться
出題回：60
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第60回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0008,verb_pair,приводи́ть — привести́,приводить — привести,連れてくる／導く,動詞,,,приводи́ть,привести́,приводить—привести,,60,文法II,動詞の体・時制選択,1,приводить—привести,2,verb,ru→ja / ja→ru候補,приводи́ть — привести́,連れてくる／導く,"答え：連れてくる／導く
品詞：動詞
不完了体：приводи́ть
完了体：привести́
出題回：60
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第60回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0009,verb_pair,спеши́ть — поспеши́ть,спешить — поспешить,急ぐ,動詞,,,спеши́ть,поспеши́ть,спешить—поспешить,,60,文法II,動詞の体・時制選択,1,спешить—поспешить,2,verb,ru→ja / ja→ru候補,спеши́ть — поспеши́ть,急ぐ,"答え：急ぐ
品詞：動詞
不完了体：спеши́ть
完了体：поспеши́ть
出題回：60
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第60回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0010,verb_pair,возвраща́ться — верну́ться,возвращаться — вернуться,戻る,動詞,,,возвраща́ться,верну́ться,возвращаться—вернуться,,60;62,文法II,動詞の体・時制選択,2,возвращаться—вернуться,2,verb,ru→ja / ja→ru候補,возвраща́ться — верну́ться,戻る,"答え：戻る
品詞：動詞
不完了体：возвраща́ться
完了体：верну́ться
出題回：60;62
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;複数回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0011,verb_pair,ока́нчивать — око́нчить,оканчивать — окончить,終える,動詞,,,ока́нчивать,око́нчить,оканчивать—окончить,,60,文法II,動詞の体・時制選択,1,оканчивать—окончить,2,verb,ru→ja / ja→ru候補,ока́нчивать — око́нчить,終える,"答え：終える
品詞：動詞
不完了体：ока́нчивать
完了体：око́нчить
出題回：60
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第60回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0012,verb_pair,проверя́ть — прове́рить,проверять — проверить,確認する,動詞,,,проверя́ть,прове́рить,проверять—проверить,,60,文法II,動詞の体・時制選択,1,проверять—проверить,2,verb,ru→ja / ja→ru候補,проверя́ть — прове́рить,確認する,"答え：確認する
品詞：動詞
不完了体：проверя́ть
完了体：прове́рить
出題回：60
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第60回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0013,verb_pair,уезжа́ть — уе́хать,уезжать — уехать,出発する／去る,動詞,,,уезжа́ть,уе́хать,уезжать—уехать,,60,文法II,動詞の体・時制選択,1,уезжать—уехать,2,verb,ru→ja / ja→ru候補,уезжа́ть — уе́хать,出発する／去る,"答え：出発する／去る
品詞：動詞
不完了体：уезжа́ть
完了体：уе́хать
出題回：60
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第60回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0014,verb_pair,чита́ть — прочита́ть,читать — прочитать,読む,動詞,,,чита́ть,прочита́ть,читать—прочитать,,60,文法II,動詞の体・時制選択,1,читать—прочитать,2,verb,ru→ja / ja→ru候補,чита́ть — прочита́ть,読む,"答え：読む
品詞：動詞
不完了体：чита́ть
完了体：прочита́ть
出題回：60
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第60回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0015,verb_pair,включа́ть — включи́ть,включать — включить,つける／含める,動詞,,,включа́ть,включи́ть,включать—включить,,62,文法II,動詞の体・時制選択,1,включать—включить,2,verb,ru→ja / ja→ru候補,включа́ть — включи́ть,つける／含める,"答え：つける／含める
品詞：動詞
不完了体：включа́ть
完了体：включи́ть
出題回：62
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第62回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0016,verb_pair,входи́ть — войти́,входить — воити,入る,動詞,,,входи́ть,войти́,входить—воити,,62;84,文法II,動詞の体・時制選択,2,входить—воити,2,verb,ru→ja / ja→ru候補,входи́ть — войти́,入る,"答え：入る
品詞：動詞
不完了体：входи́ть
完了体：войти́
出題回：62;84
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;複数回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0017,verb_pair,конча́ться — ко́нчиться,кончаться — кончиться,終わる,動詞,,,конча́ться,ко́нчиться,кончаться—кончиться,,62,文法II,動詞の体・時制選択,1,кончаться—кончиться,2,verb,ru→ja / ja→ru候補,конча́ться — ко́нчиться,終わる,"答え：終わる
品詞：動詞
不完了体：конча́ться
完了体：ко́нчиться
出題回：62
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第62回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0018,verb_pair,открыва́ть — откры́ть,открывать — открыть,開ける／開く,動詞,,,открыва́ть,откры́ть,открывать—открыть,,62,文法II,動詞の体・時制選択,1,открывать—открыть,2,verb,ru→ja / ja→ru候補,открыва́ть — откры́ть,開ける／開く,"答え：開ける／開く
品詞：動詞
不完了体：открыва́ть
完了体：откры́ть
出題回：62
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第62回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0019,verb_pair,перевози́ть — перевезти́,перевозить — перевезти,運ぶ,動詞,,,перевози́ть,перевезти́,перевозить—перевезти,,62,文法II,動詞の体・時制選択,1,перевозить—перевезти,2,verb,ru→ja / ja→ru候補,перевози́ть — перевезти́,運ぶ,"答え：運ぶ
品詞：動詞
不完了体：перевози́ть
完了体：перевезти́
出題回：62
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第62回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0020,verb_pair,расска́зывать — рассказа́ть,рассказывать — рассказать,話す／語る,動詞,,,расска́зывать,рассказа́ть,рассказывать—рассказать,,62,文法II,動詞の体・時制選択,1,рассказывать—рассказать,2,verb,ru→ja / ja→ru候補,расска́зывать — рассказа́ть,話す／語る,"答え：話す／語る
品詞：動詞
不完了体：расска́зывать
完了体：рассказа́ть
出題回：62
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第62回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0021,verb_pair,спо́рить — поспо́рить,спорить — поспорить,議論する,動詞,,,спо́рить,поспо́рить,спорить—поспорить,,62;64,文法II,動詞の体・時制選択,2,спорить—поспорить,2,verb,ru→ja / ja→ru候補,спо́рить — поспо́рить,議論する,"答え：議論する
品詞：動詞
不完了体：спо́рить
完了体：поспо́рить
出題回：62;64
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;複数回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0022,verb_pair,станови́ться — стать,становиться — стать,〜になる,動詞,,,станови́ться,стать,становиться—стать,,62,文法II,動詞の体・時制選択,1,становиться—стать,2,verb,ru→ja / ja→ru候補,станови́ться — стать,〜になる,"答え：〜になる
品詞：動詞
不完了体：станови́ться
完了体：стать
出題回：62
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第62回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0023,verb_pair,улета́ть — улете́ть,улетать — улететь,飛び去る／出発する,動詞,,,улета́ть,улете́ть,улетать—улететь,,62,文法II,動詞の体・時制選択,1,улетать—улететь,2,verb,ru→ja / ja→ru候補,улета́ть — улете́ть,飛び去る／出発する,"答え：飛び去る／出発する
品詞：動詞
不完了体：улета́ть
完了体：улете́ть
出題回：62
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第62回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0024,verb_pair,за́втракать — поза́втракать,завтракать — позавтракать,朝食をとる,動詞,,,за́втракать,поза́втракать,завтракать—позавтракать,,64,文法II,動詞の体・時制選択,1,завтракать—позавтракать,2,verb,ru→ja / ja→ru候補,за́втракать — поза́втракать,朝食をとる,"答え：朝食をとる
品詞：動詞
不完了体：за́втракать
完了体：поза́втракать
出題回：64
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第64回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0025,verb_pair,заезжа́ть — зае́хать,заезжать — заехать,立ち寄る／車で入る,動詞,,,заезжа́ть,зае́хать,заезжать—заехать,,64,文法II,動詞の体・時制選択,1,заезжать—заехать,2,verb,ru→ja / ja→ru候補,заезжа́ть — зае́хать,立ち寄る／車で入る,"答え：立ち寄る／車で入る
品詞：動詞
不完了体：заезжа́ть
完了体：зае́хать
出題回：64
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第64回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0026,verb_pair,нра́виться — понра́виться,нравиться — понравиться,気に入る,動詞,,,нра́виться,понра́виться,нравиться—понравиться,,64,文法II,動詞の体・時制選択,1,нравиться—понравиться,2,verb,ru→ja / ja→ru候補,нра́виться — понра́виться,気に入る,"答え：気に入る
品詞：動詞
不完了体：нра́виться
完了体：понра́виться
出題回：64
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第64回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0027,verb_pair,объясня́ть — объясни́ть,объяснять — объяснить,説明する,動詞,,,объясня́ть,объясни́ть,объяснять—объяснить,,64,文法II,動詞の体・時制選択,1,объяснять—объяснить,2,verb,ru→ja / ja→ru候補,объясня́ть — объясни́ть,説明する,"答え：説明する
品詞：動詞
不完了体：объясня́ть
完了体：объясни́ть
出題回：64
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第64回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0028,verb_pair,па́дать — упа́сть,падать — упасть,落ちる／倒れる,動詞,,,па́дать,упа́сть,падать—упасть,,64,文法II,動詞の体・時制選択,1,падать—упасть,2,verb,ru→ja / ja→ru候補,па́дать — упа́сть,落ちる／倒れる,"答え：落ちる／倒れる
品詞：動詞
不完了体：па́дать
完了体：упа́сть
出題回：64
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第64回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0029,verb_pair,писа́ть — написа́ть,писать — написать,書く,動詞,,,писа́ть,написа́ть,писать—написать,,64,文法II,動詞の体・時制選択,1,писать—написать,2,verb,ru→ja / ja→ru候補,писа́ть — написа́ть,書く,"答え：書く
品詞：動詞
不完了体：писа́ть
完了体：написа́ть
出題回：64
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第64回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
m0030,verb_pair,смотре́ть — посмотре́ть,смотреть — посмотреть,見る,動詞,,,смотре́ть,посмотре́ть,смотреть—посмотреть,,64,文法II,動詞の体・時制選択,1,смотреть—посмотреть,2,verb,ru→ja / ja→ru候補,смотре́ть — посмотре́ть,見る,"答え：見る
品詞：動詞
不完了体：смотре́ть
完了体：посмотре́ть
出題回：64
文脈：動詞の体・時制選択",ロシア語2級;verb;動詞;第64回,要確認,未確認,不完了体・完了体セットで校正。訳は文脈で調整。,候補,,中
